"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Depth","pH","Turb","ChlFluor","fDOMQSU","fDOMRFU"
2025-04-01,"05:45","23.304","40.421","25.85","70.6","5.19","2.069","7.42","11.81","1.41","70.56","23.6"
2025-04-01,"06:00","23.294","40.296","25.76","68.7","5.05","2.04","7.41","10.6","1.36","71.8","24.02"
2025-04-01,"06:15","23.281","40.217","25.71","64.4","4.74","2.049","7.38","7.64","1.3","73.44","24.56"
2025-04-01,"06:30","23.278","40.228","25.71","52.7","3.88","2.093","7.35","6.52","1.36","74.15","24.8"
2025-04-01,"06:45","23.227","40.291","25.76","67.3","4.95","2.182","7.39","8.48","1.35","73.63","24.63"
2025-04-01,"07:00","23.182","40.982","26.25","70.9","5.21","2.289","7.43","15.97","1.35","68.62","22.96"
2025-04-01,"07:15","23.182","41.016","26.28","71.6","5.26","2.403","7.44","13.83","1.3","68.49","22.91"
2025-04-01,"07:30","23.142","41.312","26.49","72.1","5.29","2.508","7.45","11.76","1.27","67.94","22.73"
2025-04-01,"07:45","23.149","41.422","26.57","72.6","5.33","2.604","7.46","10.5","1.18","67.42","22.55"
2025-04-01,"08:00","23.102","41.799","26.84","72.9","5.35","2.687","7.47","12.99","1.24","65.16","21.8"
2025-04-01,"08:15","23.073","42.057","27.02","72.9","5.35","2.771","7.48","11.71","1.42","63.8","21.35"
2025-04-01,"08:30","23.062","42.301","27.19","73.5","5.39","2.857","7.49","11.29","1.24","62.93","21.06"
2025-04-01,"08:45","23.046","42.505","27.34","73.2","5.36","2.936","7.48","9.45","1.2","63.49","21.24"
2025-04-01,"09:00","23.044","42.699","27.48","73.5","5.38","3.01","7.49","9.39","1.17","62.21","20.82"
2025-04-01,"09:15","23.046","42.892","27.62","74.3","5.43","3.074","7.51","10.54","1.19","60.82","20.35"
2025-04-01,"09:30","23.035","43.2","27.84","74.7","5.46","3.142","7.52","9.39","1.11","59.71","19.98"
2025-04-01,"09:45","23.045","43.433","28.01","75","5.47","3.213","7.53","9.96","1.16","58.85","19.7"
2025-04-01,"10:00","23.05","43.633","28.15","75.4","5.49","3.276","7.54","6.66","1.12","58.34","19.53"
2025-04-01,"10:15","23.045","43.867","28.32","75.8","5.52","3.347","7.55","6.1","1.09","57.09","19.11"
2025-04-01,"10:30","22.992","44.335","28.65","76.6","5.57","3.412","7.57","6.93","1.08","54.93","18.39"
2025-04-01,"10:45","22.979","44.714","28.93","76.2","5.54","3.473","7.57","13.54","1.11","49.63","16.62"
2025-04-01,"11:00","22.947","45.018","29.15","76.7","5.57","3.523","7.59","6.56","1.06","51.93","17.39"
2025-04-01,"11:15","22.93","45.189","29.27","76.5","5.55","3.565","7.59","6.36","0.99","50.85","17.03"
2025-04-01,"11:30","22.956","45.28","29.34","76.1","5.52","3.6","7.59","7.11","1","50.29","16.84"
2025-04-01,"11:45","22.957","45.459","29.47","75","5.43","3.627","7.59","6.3","0.97","49.67","16.63"
2025-04-01,"12:00","22.964","45.596","29.57","73.4","5.31","3.642","7.59","4.72","0.82","49","16.41"
2025-04-01,"12:15","23.009","45.658","29.61","69.5","5.02","3.644","7.57","3.92","0.57","48.09","16.11"
2025-04-01,"12:30","23.032","45.708","29.65","51.8","3.75","3.629","7.5","2.4","0.48","46.73","15.65"
2025-04-01,"12:45","23.029","45.684","29.63","66.3","4.79","3.591","7.57","3.13","0.86","47.57","15.93"
2025-04-01,"13:00","23.079","45.524","29.51","77.7","5.61","3.535","7.6","5.42","1.21","48.47","16.23"
2025-04-01,"13:15","23.079","45.26","29.32","78.7","5.69","3.465","7.61","6.23","1.19","49.14","16.46"
2025-04-01,"13:30","23.158","44.899","29.06","78.5","5.68","3.39","7.59","6.87","1.21","50.7","16.98"
2025-04-01,"13:45","23.276","44.351","28.66","78.8","5.7","3.319","7.58","6.22","1.31","53.5","17.91"
2025-04-01,"14:00","23.419","43.756","28.23","78.7","5.69","3.249","7.56","5.96","1.28","55.92","18.72"
2025-04-01,"14:15","23.507","43.424","27.99","79","5.71","3.169","7.55","6.76","1.31","58.15","19.46"
2025-04-01,"14:30","23.57","43.128","27.78","78.4","5.67","3.09","7.54","8.77","1.46","58.29","19.51"
2025-04-01,"14:45","23.594","42.898","27.61","78","5.64","3.01","7.53","8.85","1.36","60.05","20.09"
2025-04-01,"15:00","23.663","42.696","27.47","77.9","5.64","2.92","7.52","10.05","1.46","60.56","20.27"
2025-04-01,"15:15","23.79","42.421","27.27","78.2","5.66","2.827","7.51","9.48","1.52","61.86","20.7"
2025-04-01,"15:30","23.89","42.18","27.09","77.9","5.62","2.72","7.5","7.69","1.45","62.99","21.08"
2025-04-01,"15:45","23.982","41.865","26.87","77.6","5.6","2.606","7.49","7.78","1.48","64.43","21.56"
2025-04-01,"16:00","24.102","41.528","26.62","77.6","5.6","2.488","7.48","7.91","1.52","65.66","21.97"
2025-04-01,"16:15","24.236","41.27","26.44","78.1","5.63","2.366","7.47","9.07","1.6","66.63","22.29"
2025-04-01,"16:30","24.379","41.045","26.28","79.3","5.7","2.246","7.47","7.78","1.57","67.79","22.68"
2025-04-01,"16:45","24.415","40.818","26.11","78.8","5.67","2.144","7.46","7.9","1.7","69.54","23.26"
2025-04-01,"17:00","24.487","40.659","26","78.9","5.67","2.048","7.45","6.74","1.65","69.19","23.14"
2025-04-01,"17:15","24.594","40.583","25.94","78.5","5.64","1.977","7.44","6.78","1.67","70.3","23.52"
2025-04-01,"17:30","24.665","40.455","25.85","76.9","5.52","1.916","7.43","7.4","1.7","68.99","23.08"
2025-04-01,"17:45","24.703","40.372","25.79","73","5.24","1.891","7.41","9.62","1.64","68.86","23.03"
2025-04-01,"18:00","24.729","40.326","25.76","69.2","4.96","1.922","7.4","7.42","1.42","67.93","22.72"
2025-04-01,"18:15","24.695","40.22","25.68","74.3","5.33","1.995","7.4","4.68","1.41","72.42","24.22"
2025-04-01,"18:30","24.695","40.685","26.01","79.3","5.69","2.106","7.45","5.36","1.57","72.08","24.11"
2025-04-01,"18:45","24.658","40.909","26.17","80.5","5.77","2.22","7.46","7.9","1.65","69.94","23.39"
2025-04-01,"19:00","24.568","41.022","26.26","81.3","5.83","2.338","7.47","8.11","1.81","69.1","23.12"
2025-04-01,"19:15","24.542","41.191","26.38","80.3","5.76","2.442","7.47","7.16","1.71","68.97","23.07"
2025-04-01,"19:30","24.441","41.61","26.68","81.3","5.83","2.538","7.49","9.77","1.76","65.89","22.04"
2025-04-01,"19:45","24.4","41.966","26.93","81.6","5.85","2.636","7.5","10.29","1.74","64.64","21.63"
2025-04-01,"20:00","24.32","42.145","27.06","80.5","5.77","2.738","7.5","10","1.72","63.7","21.31"
2025-04-01,"20:15","24.367","42.539","27.34","82","5.87","2.83","7.52","9.5","1.7","62.15","20.8"
2025-04-01,"20:30","24.31","42.773","27.51","82.3","5.88","2.917","7.53","9.21","1.61","61.44","20.56"
2025-04-01,"20:45","24.194","42.865","27.58","81.4","5.83","2.994","7.53","8.63","1.58","61.02","20.42"
2025-04-01,"21:00","24.194","43.164","27.79","81.9","5.86","3.071","7.54","7.32","1.52","60.12","20.12"
2025-04-01,"21:15","24.171","43.376","27.95","81.7","5.84","3.149","7.55","9.14","1.58","58.45","19.56"
2025-04-01,"21:30","24.14","43.572","28.09","82.5","5.9","3.227","7.56","7.91","1.47","58.1","19.45"
2025-04-01,"21:45","24.094","43.819","28.26","83.3","5.96","3.303","7.57","7.03","1.53","57","19.08"
2025-04-01,"22:00","24.042","44.188","28.53","83.3","5.95","3.384","7.58","6.92","1.51","55.11","18.45"
2025-04-01,"22:15","23.996","44.52","28.77","83","5.93","3.464","7.59","6.9","1.54","53.33","17.85"
2025-04-01,"22:30","23.942","44.846","29.01","83.5","5.96","3.533","7.61","7.64","1.53","51.6","17.28"
2025-04-01,"22:45","23.9","45.058","29.16","83.4","5.95","3.6","7.62","6.11","1.47","51.26","17.16"
2025-04-01,"23:00","23.867","45.316","29.35","82.3","5.87","3.66","7.62","6.14","1.43","49.61","16.61"
2025-04-01,"23:15","23.812","45.721","29.64","83","5.91","3.716","7.63","6.71","1.33","48.02","16.08"
2025-04-01,"23:30","23.735","46.239","30.02","82.7","5.89","3.764","7.64","6.67","1.32","44.97","15.07"
2025-04-01,"23:45","23.652","46.709","30.36","82.6","5.88","3.802","7.66","6.43","1.35","42.87","14.36"
2025-04-02,"00:00","23.593","47.039","30.6","83.2","5.92","3.842","7.67","5.94","1.32","41.22","13.82"
2025-04-02,"00:15","23.484","47.486","30.93","83","5.91","3.874","7.69","5.44","1.15","39.36","13.19"
2025-04-02,"00:30","23.405","47.853","31.2","83.1","5.91","3.899","7.71","4.98","1.16","37.55","12.59"
2025-04-02,"00:45","23.312","48.224","31.47","82.9","5.9","3.914","7.72","4.47","1.17","35.46","11.89"
2025-04-02,"01:00","23.256","48.491","31.67","81.6","5.8","3.915","7.72","4.24","0.95","34.2","11.47"
2025-04-02,"01:15","23.236","48.571","31.72","76.1","5.42","3.899","7.7","4.24","0.71","33.57","11.26"
2025-04-02,"01:30","23.256","48.512","31.68","54.4","3.87","3.86","7.6","2.35","0.62","31.67","10.63"
2025-04-02,"01:45","23.275","47.842","31.19","74.5","5.31","3.804","7.71","4.06","1","32.4","10.87"
2025-04-02,"02:00","23.297","48.275","31.51","83.6","5.95","3.74","7.71","4.6","1.26","34.85","11.69"
2025-04-02,"02:15","23.416","47.712","31.09","83.7","5.96","3.676","7.7","6.13","1.28","37.36","12.53"
2025-04-02,"02:30","23.515","47.11","30.65","83.1","5.92","3.618","7.69","6.21","1.29","40.1","13.44"
2025-04-02,"02:45","23.652","46.228","30.01","82.4","5.88","3.554","7.66","7.29","1.37","44.35","14.86"
2025-04-02,"03:00","23.736","45.505","29.49","81","5.78","3.48","7.63","8.2","1.31","47.55","15.93"
2025-04-02,"03:15","23.822","44.795","28.97","80.7","5.77","3.394","7.6","9.26","1.39","51.09","17.11"
2025-04-02,"03:30","23.87","44.575","28.81","80.3","5.75","3.316","7.59","8.68","1.38","51.98","17.4"
2025-04-02,"03:45","23.903","44.258","28.58","80","5.73","3.24","7.58","10.01","1.48","53.48","17.9"
2025-04-02,"04:00","23.936","43.847","28.29","79.5","5.7","3.154","7.57","11.02","1.51","55.69","18.64"
2025-04-02,"04:15","23.977","43.515","28.05","78.6","5.64","3.064","7.55","8.81","1.47","56.89","19.04"
2025-04-02,"04:30","24.022","43.208","27.83","78.2","5.61","2.974","7.54","8","1.42","59.28","19.84"
2025-04-02,"04:45","24.062","42.892","27.6","77.5","5.56","2.873","7.52","9.45","1.43","59.94","20.06"
2025-04-02,"05:00","24.083","42.58","27.38","76.4","5.49","2.772","7.51","9.78","1.47","61.43","20.56"
2025-04-02,"05:15","24.072","42.38","27.23","75.5","5.43","2.662","7.49","11.24","1.55","61.9","20.71"
2025-04-02,"05:30","24.082","42.163","27.08","74.5","5.36","2.561","7.48","10.73","1.5","63.11","21.12"
2025-04-02,"05:45","24.08","41.979","26.95","73.6","5.3","2.455","7.46","10.55","1.49","63.81","21.35"
2025-04-02,"06:00","24.069","41.783","26.81","72.1","5.2","2.362","7.45","10.62","1.53","65.01","21.75"
2025-04-02,"06:15","24.074","41.592","26.67","71.2","5.14","2.28","7.43","9.43","1.5","67.21","22.49"
2025-04-02,"06:30","24.067","39.503","25.19","70.3","5.11","2.218","7.42","8.52","1.47","67.59","22.61"
2025-04-02,"06:45","24.065","41.316","26.47","68.1","4.92","2.17","7.4","7.69","1.38","69.51","23.25"
2025-04-02,"07:00","24.052","41.25","26.43","62.9","4.55","2.176","7.38","5.38","1.3","68.71","22.98"
2025-04-02,"07:15","24.047","41.237","26.42","51.6","3.73","2.227","7.34","8.62","1.23","64.7","21.65"
2025-04-02,"07:30","23.992","41.321","26.48","66.5","4.81","2.309","7.37","6.46","1.34","70.62","23.62"
2025-04-02,"07:45","23.944","41.903","26.9","68.7","4.96","2.405","7.41","8.36","1.27","67.59","22.61"
2025-04-02,"08:00","23.946","41.964","26.94","70","5.05","2.497","7.42","9.42","1.3","66.65","22.3"
2025-04-02,"08:15","23.948","42.132","27.06","70.9","5.12","2.585","7.43","9.53","1.22","66.12","22.12"
2025-04-02,"08:30","23.941","42.337","27.21","71.4","5.15","2.669","7.44","8.19","1.23","65.27","21.84"
2025-04-02,"08:45","23.944","42.558","27.36","72.3","5.21","2.743","7.45","7.54","1.2","64.02","21.42"
2025-04-02,"09:00","23.905","42.737","27.49","71.7","5.17","2.824","7.45","11.41","1.34","62.18","20.81"
2025-04-02,"09:15","23.893","43.002","27.68","72.7","5.23","2.897","7.46","7.7","1.23","61.98","20.74"
2025-04-02,"09:30","23.918","43.171","27.8","74.2","5.33","2.969","7.47","11.71","1.18","61.08","20.44"
2025-04-02,"09:45","23.917","43.37","27.95","74.7","5.36","3.048","7.48","6.8","1.18","60.54","20.26"
2025-04-02,"10:00","23.92","43.51","28.05","75.1","5.4","3.116","7.49","6.61","1.15","59.99","20.08"
2025-04-02,"10:15","23.941","43.736","28.21","76","5.45","3.179","7.5","7.89","1.28","58.15","19.46"
2025-04-02,"10:30","23.937","44.023","28.41","76.3","5.47","3.248","7.51","8.36","1.18","56.72","18.99"
2025-04-02,"10:45","23.954","44.211","28.55","77.2","5.52","3.309","7.52","6.95","1.18","55.9","18.71"
2025-04-02,"11:00","23.978","44.428","28.7","78.1","5.58","3.369","7.53","7.08","1.11","54.19","18.14"
2025-04-02,"11:15","23.981","44.66","28.87","78","5.57","3.427","7.54","7.72","1.2","53.49","17.91"
2025-04-02,"11:30","23.989","45.049","29.15","79","5.63","3.485","7.56","7.04","1.17","51.59","17.27"
2025-04-02,"11:45","23.965","45.299","29.33","78.4","5.58","3.54","7.57","6.59","1.13","50.81","17.01"
2025-04-02,"12:00","23.958","45.573","29.53","79","5.62","3.577","7.58","6.16","1.1","49.27","16.5"
2025-04-02,"12:15","23.972","45.754","29.66","78.1","5.55","3.61","7.58","8.34","1.04","46.79","15.67"
2025-04-02,"12:30","23.993","45.876","29.75","77.9","5.53","3.634","7.58","4.77","1.03","47.98","16.07"
2025-04-02,"12:45","24","45.994","29.84","77.2","5.48","3.648","7.59","4.2","0.98","47.24","15.82"
2025-04-02,"13:00","24.048","45.984","29.83","73.3","5.2","3.655","7.56","4.15","0.78","46.98","15.74"
2025-04-02,"13:15","24.133","45.997","29.83","55.2","3.91","3.648","7.49","2.93","0.51","43.97","14.73"
2025-04-02,"13:30","24.126","46.013","29.85","55.8","3.95","3.623","7.51","3.03","0.68","43.53","14.58"
2025-04-02,"13:45","24.328","45.974","29.81","80","5.65","3.576","7.6","2.97","1.11","45.49","15.24"
2025-04-02,"14:00","24.314","45.867","29.74","83.4","5.89","3.517","7.61","4.06","1.2","46.31","15.51"
2025-04-02,"14:15","24.401","45.634","29.57","84.6","5.97","3.448","7.6","5.9","1.32","47.64","15.96"
2025-04-02,"14:30","24.371","45.235","29.28","83.1","5.88","3.375","7.59","6.04","1.29","49.85","16.69"
2025-04-02,"14:45","24.412","44.751","28.93","82.2","5.82","3.307","7.57","5.88","1.32","52.3","17.51"
2025-04-02,"15:00","24.779","44.253","28.56","84.9","5.99","3.235","7.57","5.45","1.39","54.43","18.22"
2025-04-02,"15:15","24.861","43.943","28.34","84.5","5.96","3.161","7.56","5.84","1.44","55.98","18.74"
2025-04-02,"15:30","24.787","43.881","28.3","83.9","5.92","3.082","7.55","7.6","1.51","55.56","18.6"
2025-04-02,"15:45","24.849","43.7","28.16","83.9","5.92","2.999","7.55","8.43","1.53","56.1","18.78"
2025-04-02,"16:00","24.972","43.503","28.02","84.6","5.97","2.913","7.54","8.91","1.62","57.17","19.14"
2025-04-02,"16:15","25.101","43.33","27.89","85.8","6.04","2.818","7.54","10.69","1.74","57.63","19.29"
2025-04-02,"16:30","25.131","43.128","27.75","85.8","6.04","2.724","7.54","8.43","1.75","58.62","19.62"
2025-04-02,"16:45","25.152","42.992","27.65","84.5","5.95","2.615","7.52","8.54","1.7","59.65","19.96"
2025-04-02,"17:00","25.198","42.813","27.52","84.1","5.92","2.505","7.5","8.24","1.75","60.99","20.41"
2025-04-02,"17:15","25.318","42.623","27.38","84.5","5.94","2.398","7.51","8.4","1.67","61.61","20.62"
2025-04-02,"17:30","25.445","42.448","27.25","85.2","5.98","2.305","7.51","7.82","1.75","61.79","20.67"
2025-04-02,"17:45","25.577","42.312","27.15","84.8","5.95","2.222","7.5","9.08","1.81","62.09","20.78"
2025-04-02,"18:00","25.719","42.196","27.07","84.5","5.91","2.151","7.5","10.16","1.77","61.13","20.46"
2025-04-02,"18:15","25.852","42.151","27.03","85.7","5.99","2.094","7.5","12.5","1.83","61.14","20.46"
2025-04-02,"18:30","25.934","42.103","27","85.6","5.97","2.072","7.5","12.55","1.93","62.44","20.89"
2025-04-02,"18:45","25.964","42.054","26.96","84.1","5.87","2.085","7.5","9.33","1.79","62.67","20.97"
2025-04-02,"19:00","25.993","42.251","27.1","83.2","5.79","2.13","7.49","4.67","1.59","63.71","21.32"
2025-04-02,"19:15","25.966","42.132","27.02","88","6.13","2.21","7.51","3.64","1.55","66.83","22.36"
2025-04-02,"19:30","25.925","42.149","27.03","89.2","6.22","2.302","7.52","4.56","1.61","66.32","22.19"
2025-04-02,"19:45","25.876","42.394","27.21","90","6.27","2.402","7.54","5.49","1.58","65.38","21.87"
2025-04-02,"20:00","25.712","42.663","27.4","89.4","6.24","2.505","7.54","7.52","1.66","63.17","21.14"
2025-04-02,"20:15","25.552","42.771","27.48","88.5","6.2","2.597","7.54","7.48","1.65","62.52","20.92"
2025-04-02,"20:30","25.493","43.161","27.76","89.4","6.26","2.68","7.56","8.01","1.74","60.26","20.17"
2025-04-02,"20:45","25.425","43.27","27.84","88.7","6.21","2.763","7.56","10.49","1.85","59.45","19.9"
2025-04-02,"21:00","25.444","43.503","28.01","89.6","6.27","2.846","7.57","7.76","1.62","59.68","19.97"
2025-04-02,"21:15","25.809","44.032","28.38","91.9","6.37","2.927","7.6","8.3","1.73","57.18","19.14"
2025-04-02,"21:30","25.511","43.941","28.32","90","6.27","2.998","7.59","8.22","1.69","56.88","19.04"
2025-04-02,"21:45","25.389","43.949","28.33","89","6.22","3.072","7.58","8.11","1.65","56.9","19.04"
2025-04-02,"22:00","25.382","44.139","28.47","88.3","6.17","3.147","7.59","10.02","1.89","54.58","18.27"
2025-04-02,"22:15","25.311","44.395","28.65","88.5","6.18","3.22","7.6","12.36","1.72","53.73","17.99"
2025-04-02,"22:30","25.29","44.699","28.87","90.4","6.3","3.288","7.61","6.88","1.52","53.6","17.94"
2025-04-02,"22:45","25.258","44.9","29.02","90.1","6.29","3.371","7.62","7.81","1.53","52.39","17.54"
2025-04-02,"23:00","25.142","45.359","29.35","90","6.28","3.448","7.63","9.01","1.57","50.21","16.81"
2025-04-02,"23:15","25.045","45.731","29.62","90.4","6.31","3.516","7.65","6.27","1.44","48.51","16.25"
2025-04-02,"23:30","24.96","45.931","29.77","89.7","6.26","3.587","7.65","6.96","1.42","47.18","15.8"
2025-04-02,"23:45","24.896","46.225","29.98","89.3","6.23","3.647","7.66","6.33","1.42","45.88","15.37"
2025-04-03,"00:00","24.866","46.441","30.14","88.7","6.19","3.708","7.66","7.16","1.28","44.79","15.01"
2025-04-03,"00:15","24.808","46.828","30.42","88.7","6.18","3.758","7.67","7.5","1.32","42.91","14.38"
2025-04-03,"00:30","24.731","47.316","30.78","88.5","6.17","3.802","7.69","6.54","1.19","40.31","13.51"
2025-04-03,"00:45","24.625","47.78","31.12","88.9","6.2","3.836","7.7","7.27","1.25","37.7","12.64"
2025-04-03,"01:00","24.576","48.01","31.29","88.6","6.17","3.867","7.71","8.68","1.31","36.55","12.26"
2025-04-03,"01:15","24.446","48.394","31.57","88","6.13","3.893","7.72","8.43","1.15","34.77","11.66"
2025-04-03,"01:30","24.351","48.742","31.83","88.3","6.16","3.912","7.73","6.02","1.14","32.88","11.03"
2025-04-03,"01:45","24.313","48.875","31.93","87","6.07","3.919","7.73","7.17","1.1","32.45","10.89"
2025-04-03,"02:00","24.25","49.111","32.1","84.3","5.88","3.908","7.73","6.5","1.01","31.4","10.54"
2025-04-03,"02:15","24.244","49.184","32.15","68.3","4.76","3.879","7.65","2.54","0.53","29.94","10.05"
2025-04-03,"02:30","24.266","48.914","31.96","71.4","4.98","3.835","7.69","2.95","0.76","29.1","9.77"
2025-04-03,"02:45","24.322","48.753","31.84","87.1","6.08","3.779","7.72","5.35","1.19","32.85","11.02"
2025-04-03,"03:00","24.384","48.616","31.74","88.5","6.17","3.723","7.73","7.71","1.38","33.31","11.18"
2025-04-03,"03:15","24.501","48.104","31.36","88.6","6.18","3.666","7.71","6.92","1.32","36.43","12.22"
2025-04-03,"03:30","24.625","47.384","30.83","88","6.14","3.606","7.7","7.58","1.38","39.8","13.34"
2025-04-03,"03:45","24.706","46.979","30.54","87.9","6.14","3.54","7.68","10.06","1.44","41.52","13.91"
2025-04-03,"04:00","24.784","46.37","30.09","87.1","6.09","3.464","7.66","8.18","1.35","45.19","15.14"
2025-04-03,"04:15","24.866","45.729","29.63","86.9","6.08","3.389","7.65","7.69","1.43","48.24","16.16"
2025-04-03,"04:30","24.917","45.422","29.4","86.5","6.06","3.31","7.63","10.32","1.48","49.1","16.44"
2025-04-03,"04:45","24.956","45.195","29.24","86.4","6.05","3.239","7.63","8.89","1.52","50.53","16.92"
2025-04-03,"05:00","24.995","44.821","28.97","85.9","6.02","3.157","7.62","12.01","1.58","51.75","17.33"
2025-04-03,"05:15","25.035","44.551","28.77","85.3","5.98","3.079","7.61","8.72","1.48","54.02","18.08"
2025-04-03,"05:30","25.095","44.301","28.59","84.8","5.95","2.99","7.6","9.81","1.48","54.95","18.39"
2025-04-03,"05:45","25.119","44.019","28.39","84.3","5.91","2.902","7.59","9.52","1.55","55.95","18.73"
2025-04-03,"06:00","25.135","43.871","28.28","83.6","5.87","2.806","7.58","9.76","1.53","57.1","19.11"
2025-04-03,"06:15","25.119","43.692","28.15","82.9","5.82","2.708","7.57","10.53","1.6","57.9","19.38"
2025-04-03,"06:30","25.117","43.579","28.07","82.2","5.78","2.606","7.56","9.82","1.56","58.76","19.67"
2025-04-03,"06:45","25.102","43.391","27.94","80.9","5.69","2.511","7.54","10.34","1.57","59.68","19.97"
2025-04-03,"07:00","25.082","43.249","27.84","79.7","5.61","2.423","7.52","11.16","1.55","60.5","20.25"
2025-04-03,"07:15","25.06","43.089","27.72","77.8","5.48","2.351","7.51","12.36","1.54","60.21","20.15"
2025-04-03,"07:30","25.066","42.998","27.66","77.4","5.46","2.297","7.5","8.55","1.53","60.8","20.34"
2025-04-03,"07:45","25.056","42.915","27.6","75.5","5.33","2.261","7.49","8.15","1.46","63.2","21.15"
2025-04-03,"08:00","25.054","42.86","27.56","69.1","4.88","2.271","7.46","5.25","1.2","63.76","21.33"
2025-04-03,"08:15","25.052","42.839","27.54","57.8","4.08","2.316","7.41","16.28","1.36","58.25","19.5"
2025-04-03,"08:30","24.977","43.036","27.69","74","5.23","2.396","7.46","5.25","1.24","64.33","21.53"
2025-04-03,"08:45","24.948","43.301","27.88","75.9","5.36","2.487","7.48","6.79","1.28","62.61","20.95"
2025-04-03,"09:00","24.972","43.386","27.94","77.4","5.46","2.575","7.5","8.78","1.29","61.06","20.43"
2025-04-03,"09:15","25.005","43.53","28.04","78.1","5.5","2.662","7.51","11.77","1.29","60.12","20.12"
2025-04-03,"09:30","25.006","43.702","28.16","78.8","5.55","2.745","7.51","8.69","1.25","60.02","20.09"
2025-04-03,"09:45","25.038","43.89","28.3","80.2","5.64","2.818","7.53","10.44","1.29","58.35","19.53"
2025-04-03,"10:00","25.012","44.087","28.44","79.8","5.61","2.89","7.53","12.94","1.36","56.84","19.02"
2025-04-03,"10:15","24.997","44.273","28.57","80","5.62","2.957","7.54","9.47","1.3","56.73","18.99"
2025-04-03,"10:30","25.05","44.417","28.68","81.5","5.72","3.023","7.55","7.77","1.26","55.96","18.73"
2025-04-03,"10:45","25.045","44.56","28.78","81.5","5.72","3.08","7.56","15.31","1.24","54.75","18.33"
2025-04-03,"11:00","25.09","44.68","28.86","82.9","5.8","3.145","7.56","6.05","1.17","55.42","18.55"
2025-04-03,"11:15","25.073","44.862","29","83.3","5.83","3.198","7.57","6.98","1.22","53.89","18.04"
2025-04-03,"11:30","25.099","45.006","29.1","83.3","5.82","3.257","7.58","7.87","1.23","52.95","17.73"
2025-04-03,"11:45","25.105","45.219","29.25","83.1","5.81","3.307","7.58","6.99","1.2","52.13","17.45"
2025-04-03,"12:00","25.112","45.474","29.44","85.4","5.96","3.358","7.59","7.21","1.24","50.58","16.94"
2025-04-03,"12:15","25.114","45.585","29.52","84.9","5.92","3.416","7.6","4.91","1.15","50.71","16.98"
2025-04-03,"12:30","25.095","45.781","29.66","84.5","5.89","3.463","7.6","4.89","1.11","49.55","16.59"
2025-04-03,"12:45","25.126","46.129","29.91","85.4","5.94","3.508","7.62","5.62","1.07","47.77","16"
