"Deploy Date","Deploy Time","Retrieve Date","Retrieve Time","Sonde Model Number (Nickname)","pH Model Number","rpDO Model Number","roxDO Model Number","Turb Model Number","Cond Model Number","Chloro Model Number","EXO Model Number","DATE","TIME","F_Record","FILENAME","SITENAME","USERID","FAULTCODE","SpCond","F_SpCond","Sal","F_Sal","Depth","F_Depth","DO_pct","F_DO_pct","DO_mgl","F_DO_mgl","FDOMQSU","FDOMRFU","pH","F_pH","pHmV","BATTERY","Temp","F_Temp","Turb","F_Turb","WIPERPOSITIONVOLT","CHLOROPHYLLRFU","ChlFluor","F_ChlFluor","Date","Time","fDOMQSU","fDOMRFU","ChlorophyllRFU","PHMV"
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.144","0","32.07","0","2.87","0","88.2","0","5.91","0","","","7.94","0","-79.1","5.94","26.593","0","4.67","0","1.222","","4.03","0",2025-10-01,"2:30","","","1",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.16","0","32.08","0","2.89","0","86.9","0","5.82","0","","","7.94","0","-78.8","5.95","26.588","0","4.24","0","1.224","","3.07","0",2025-10-01,"2:45","","","0.76",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.196","0","32.11","0","2.909","0","78.6","0","5.27","0","","","7.92","0","-77.9","5.94","26.596","0","4.79","0","1.217","","4.63","0",2025-10-01,"3:00","","","1.14",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.11","0","32.05","0","2.926","0","75.8","0","5.09","0","","","7.91","0","-77.3","5.95","26.537","0","3.81","0","1.216","","3.21","0",2025-10-01,"3:15","","","0.79",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.496","0","32.33","0","2.938","0","73.9","0","4.94","0","","","7.93","0","-78.6","5.94","26.616","0","4.3","0","1.227","","4.17","0",2025-10-01,"3:30","","","1.03",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.667","0","32.45","0","2.942","0","85.3","0","5.7","0","","","7.96","0","-80.3","5.94","26.662","0","4.76","0","1.216","","4.32","0",2025-10-01,"3:45","","","1.07",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.646","0","32.44","0","2.946","0","88.2","0","5.9","0","","","7.97","0","-81","5.94","26.637","0","5.79","0","1.22","","5.57","0",2025-10-01,"4:00","","","1.38",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.646","0","32.44","0","2.945","0","91.8","0","6.14","0","","","7.97","0","-81.1","5.94","26.61","0","5.5","0","1.228","","5.27","0",2025-10-01,"4:15","","","1.3",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.617","0","32.42","0","2.934","0","92.4","0","6.18","0","","","7.97","0","-80.8","5.94","26.584","0","5.36","0","1.232","","5.24","0",2025-10-01,"4:30","","","1.29",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.597","0","32.4","0","2.913","0","91.8","0","6.14","0","","","7.97","0","-80.9","5.93","26.573","0","5.75","0","1.221","","5.25","0",2025-10-01,"4:45","","","1.3",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.559","0","32.38","0","2.89","0","91.8","0","6.15","0","","","7.97","0","-80.6","5.94","26.561","0","6.17","0","1.231","","4.9","0",2025-10-01,"5:00","","","1.21",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.289","0","32.18","0","2.863","0","91.6","0","6.14","0","","","7.96","0","-80.1","5.94","26.522","0","7.31","0","1.223","","5.02","0",2025-10-01,"5:15","","","1.24",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.073","0","32.02","0","2.837","0","90.8","0","6.1","0","","","7.94","0","-79.3","5.93","26.506","0","7.34","0","1.218","","4.81","0",2025-10-01,"5:30","","","1.19",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","48.762","0","31.79","0","2.808","0","89.9","0","6.05","0","","","7.93","0","-78.5","5.94","26.485","0","7.77","0","1.217","","4.68","0",2025-10-01,"5:45","","","1.16",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","48.257","0","31.43","0","2.776","0","89","0","6","0","","","7.91","0","-77.1","5.93","26.438","0","7.35","0","1.221","","4.77","0",2025-10-01,"6:00","","","1.18",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","47.639","0","30.98","0","2.742","0","88.4","0","5.98","0","","","7.89","0","-75.9","5.94","26.394","0","7.02","0","1.224","","4.56","0",2025-10-01,"6:15","","","1.13",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.804","0","30.37","0","2.71","0","87.2","0","5.93","0","","","7.85","0","-73.3","5.94","26.293","0","6.18","0","1.224","","4.63","0",2025-10-01,"6:30","","","1.15",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.737","0","30.32","0","2.68","0","87.1","0","5.92","0","","","7.85","0","-73.2","5.93","26.316","0","6.3","0","1.23","","4.66","0",2025-10-01,"6:45","","","1.15",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.154","0","29.91","0","2.652","0","83.6","0","5.73","0","","","7.81","0","-71.2","5.94","26","0","5.41","0","1.22","","4.67","0",2025-10-01,"7:00","","","1.15",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.187","0","29.94","0","2.62","0","79.6","0","5.46","0","","","7.81","0","-71","5.93","25.901","0","5.28","0","1.228","","4.29","0",2025-10-01,"7:15","","","1.06",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.006","0","29.8","0","2.591","0","82.5","0","5.67","0","","","7.81","0","-70.8","5.93","25.887","0","5.31","0","1.231","","3.84","0",2025-10-01,"7:30","","","0.95",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.68","0","30.29","0","2.56","0","75.5","0","5.16","0","","","7.81","0","-71.2","5.94","26.042","0","5.81","0","1.226","","3.73","0",2025-10-01,"7:45","","","0.92",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.805","0","30.37","0","2.526","0","83.4","0","5.68","0","","","7.84","0","-72.5","5.92","26.24","0","5.84","0","1.219","","3.95","0",2025-10-01,"8:00","","","0.98",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","47.292","0","30.73","0","2.498","0","84.9","0","5.76","0","","","7.86","0","-74.1","5.93","26.375","0","4.77","0","1.223","","3.91","0",2025-10-01,"8:15","","","0.97",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","47.21","0","30.67","0","2.47","0","84.5","0","5.74","0","","","7.85","0","-73.5","5.93","26.29","0","5.27","0","1.223","","3.84","0",2025-10-01,"8:30","","","0.95",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.969","0","30.5","0","2.443","0","81.6","0","5.58","0","","","7.82","0","-71.5","5.93","25.983","0","5.79","0","1.224","","4.02","0",2025-10-01,"8:45","","","0.99",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","47.142","0","30.62","0","2.42","0","84","0","5.71","0","","","7.84","0","-73","5.94","26.167","0","5.52","0","1.227","","3.75","0",2025-10-01,"9:00","","","0.93",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","47.451","0","30.85","0","2.4","0","81.6","0","5.55","0","","","7.84","0","-72.5","5.92","26.105","0","6.55","0","1.219","","3.7","0",2025-10-01,"9:15","","","0.91",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","47.492","0","30.88","0","2.382","0","81.5","0","5.55","0","","","7.84","0","-72.9","5.93","26.033","0","6.05","0","1.219","","3.97","0",2025-10-01,"9:30","","","0.98",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","47.581","0","30.95","0","2.368","0","81.2","0","5.54","0","","","7.83","0","-72.4","5.92","25.925","0","6.18","0","1.22","","3.76","0",2025-10-01,"9:45","","","0.93",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","47.563","0","30.93","0","2.362","0","82.1","0","5.6","0","","","7.84","0","-72.8","5.93","25.941","0","6.18","0","1.23","","3.57","0",2025-10-01,"10:00","","","0.88",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","47.644","0","30.99","0","2.363","0","80.7","0","5.5","0","","","7.83","0","-72","5.93","25.89","0","7.59","0","1.226","","3.6","0",2025-10-01,"10:15","","","0.89",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","47.922","0","31.2","0","2.372","0","81.3","0","5.54","0","","","7.85","0","-73.2","5.92","25.922","0","10.74","0","1.221","","4.07","0",2025-10-01,"10:30","","","1.01",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","48.74","0","31.79","0","2.388","0","86.3","0","5.84","0","","","7.91","0","-76.8","5.93","26.082","0","11.29","0","1.219","","4.11","0",2025-10-01,"10:45","","","1.02",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.457","0","32.31","0","2.402","0","90.6","0","6.1","0","","","7.94","0","-79.1","5.92","26.238","0","9.91","0","1.219","","4.34","0",2025-10-01,"11:00","","","1.07",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.77","0","32.53","0","2.422","0","94.6","0","6.34","0","","","7.99","0","-82","5.93","26.404","0","10.8","0","1.22","","4.47","0",2025-10-01,"11:15","","","1.11",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.789","0","32.55","0","2.452","0","95","0","6.37","0","","","8","0","-82.4","5.93","26.42","0","13.31","0","1.217","","5.53","0",2025-10-01,"11:30","","","1.37",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.723","0","32.5","0","2.487","0","95.5","0","6.4","0","","","8","0","-82.7","5.92","26.465","0","13.29","0","1.221","","5.7","0",2025-10-01,"11:45","","","1.41",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.782","0","32.54","0","2.525","0","97","0","6.49","0","","","8.01","0","-83.3","5.93","26.542","0","11.27","0","1.225","","5.14","0",2025-10-01,"12:00","","","1.27",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.79","0","32.55","0","2.564","0","97","0","6.49","0","","","8.01","0","-83.1","5.92","26.545","0","12.5","0","1.225","","5.46","0",2025-10-01,"12:15","","","1.35",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.797","0","32.55","0","2.609","0","97.3","0","6.51","0","","","8.01","0","-83.4","5.92","26.54","0","10.95","0","1.22","","5.52","0",2025-10-01,"12:30","","","1.36",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.779","0","32.54","0","2.66","0","96.5","0","6.45","0","","","8.01","0","-83","5.93","26.554","0","13.78","0","1.218","","5.16","0",2025-10-01,"12:45","","","1.28",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.782","0","32.54","0","2.705","0","98","0","6.55","0","","","8.02","0","-83.7","5.92","26.623","0","10.56","0","1.223","","4.98","0",2025-10-01,"13:00","","","1.23",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.75","0","32.51","0","2.751","0","98.3","0","6.57","0","","","8.01","0","-83.4","5.92","26.653","0","9.28","0","1.233","","5.11","0",2025-10-01,"13:15","","","1.26",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.686","0","32.47","0","2.798","0","97","0","6.48","0","","","8.01","0","-83","5.92","26.672","0","9.34","0","1.229","","4.93","0",2025-10-01,"13:30","","","1.22",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.646","0","32.44","0","2.845","0","97.1","0","6.48","0","","","8","0","-82.8","5.92","26.686","0","8.48","0","1.23","","5.04","0",2025-10-01,"13:45","","","1.25",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.682","0","32.46","0","2.887","0","97.4","0","6.49","0","","","8","0","-82.9","5.93","26.766","0","10.92","0","1.223","","5.86","0",2025-10-01,"14:00","","","1.45",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.775","0","32.53","0","2.925","0","96.7","0","6.43","0","","","8.01","0","-83.1","5.92","26.863","0","10.71","0","1.22","","5.9","0",2025-10-01,"14:15","","","1.46",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.822","0","32.56","0","2.965","0","96","0","6.38","0","","","8.01","0","-83.3","5.93","26.902","0","7.98","0","1.224","","4.88","0",2025-10-01,"14:30","","","1.21",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.821","0","32.56","0","2.999","0","82.8","0","5.5","0","","","7.97","0","-80.8","5.92","26.999","0","7.26","0","1.224","","3.32","0",2025-10-01,"14:45","","","0.82",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.845","0","32.58","0","3.031","0","88.5","0","5.88","0","","","8","0","-82.5","5.93","26.938","0","5.76","0","1.227","","2.97","0",2025-10-01,"15:00","","","0.73",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.835","0","32.57","0","3.06","0","101","0","6.71","0","","","8.03","0","-84.3","5.93","26.977","0","7.87","0","1.226","","5.56","0",2025-10-01,"15:15","","","1.37",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.846","0","32.57","0","3.087","0","101.4","0","6.74","0","","","8.02","0","-84.2","5.92","26.967","0","7.64","0","1.226","","4.49","0",2025-10-01,"15:30","","","1.11",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.741","0","32.5","0","3.107","0","97.5","0","6.49","0","","","8.01","0","-83.1","5.93","26.807","0","9.8","0","1.225","","5.94","0",2025-10-01,"15:45","","","1.47",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.683","0","32.46","0","3.123","0","96.1","0","6.41","0","","","8","0","-82.8","5.92","26.721","0","8.41","0","1.221","","5.62","0",2025-10-01,"16:00","","","1.39",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.693","0","32.47","0","3.132","0","99.4","0","6.63","0","","","8.01","0","-83.3","5.92","26.799","0","8.14","0","1.215","","6.76","0",2025-10-01,"16:15","","","1.67",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.686","0","32.46","0","3.136","0","101.2","0","6.74","0","","","8.01","0","-83.3","5.93","26.83","0","9.21","0","1.218","","6.93","0",2025-10-01,"16:30","","","1.71",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.616","0","32.41","0","3.136","0","101.1","0","6.74","0","","","8.01","0","-83","5.92","26.811","0","7.41","0","1.22","","7.56","0",2025-10-01,"16:45","","","1.87",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.282","0","32.17","0","3.13","0","100.7","0","6.72","0","","","7.98","0","-81.6","5.93","26.821","0","7.16","0","1.222","","7.46","0",2025-10-01,"17:00","","","1.84",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","48.934","0","31.91","0","3.113","0","98.5","0","6.59","0","","","7.96","0","-80","5.92","26.771","0","7.73","0","1.219","","7.57","0",2025-10-01,"17:15","","","1.87",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","48.439","0","31.55","0","3.085","0","97","0","6.51","0","","","7.93","0","-78.5","5.92","26.709","0","8.06","0","1.223","","7.46","0",2025-10-01,"17:30","","","1.84",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","47.931","0","31.18","0","3.059","0","95.3","0","6.41","0","","","7.91","0","-77","5.93","26.656","0","7.51","0","1.221","","7.51","0",2025-10-01,"17:45","","","1.86",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","47.567","0","30.92","0","3.024","0","94.7","0","6.39","0","","","7.89","0","-76.1","5.92","26.628","0","7.35","0","1.219","","6.99","0",2025-10-01,"18:00","","","1.73",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","47.151","0","30.62","0","2.993","0","93.5","0","6.32","0","","","7.87","0","-74.7","5.92","26.579","0","7.65","0","1.215","","6.89","0",2025-10-01,"18:15","","","1.7",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.902","0","30.44","0","2.956","0","92.8","0","6.28","0","","","7.86","0","-74","5.92","26.554","0","7.47","0","1.225","","6.66","0",2025-10-01,"18:30","","","1.65",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.627","0","30.24","0","2.916","0","92","0","6.24","0","","","7.85","0","-73.2","5.92","26.534","0","7.37","0","1.233","","6.75","0",2025-10-01,"18:45","","","1.67",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.912","0","30.45","0","2.882","0","91.3","0","6.18","0","","","7.85","0","-73.8","5.93","26.523","0","7.78","0","1.227","","6.29","0",2025-10-01,"19:00","","","1.55",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.555","0","30.19","0","2.845","0","91.4","0","6.2","0","","","7.84","0","-73","5.92","26.521","0","7.34","0","1.216","","6.37","0",2025-10-01,"19:15","","","1.58",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.436","0","30.1","0","2.814","0","91","0","6.17","0","","","7.84","0","-72.8","5.92","26.532","0","7.05","0","1.217","","6.65","0",2025-10-01,"19:30","","","1.65",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.627","0","30.24","0","2.781","0","89.8","0","6.09","0","","","7.84","0","-72.8","5.91","26.53","0","6.95","0","1.227","","6.32","0",2025-10-01,"19:45","","","1.56",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.979","0","30.49","0","2.749","0","89.7","0","6.07","0","","","7.85","0","-73.6","5.92","26.536","0","6.84","0","1.224","","5.49","0",2025-10-01,"20:00","","","1.36",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.636","0","30.24","0","2.719","0","89.3","0","6.06","0","","","7.84","0","-72.9","5.93","26.526","0","6.47","0","1.215","","5.79","0",2025-10-01,"20:15","","","1.43",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.592","0","30.21","0","2.687","0","84.3","0","5.72","0","","","7.83","0","-72","5.91","26.53","0","5.35","0","1.217","","4.46","0",2025-10-01,"20:30","","","1.1",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.31","0","30.01","0","2.655","0","88.2","0","5.99","0","","","7.82","0","-71.9","5.92","26.493","0","5.52","0","1.227","","5.76","0",2025-10-01,"20:45","","","1.42",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.367","0","30.05","0","2.625","0","74.3","0","5.04","0","","","7.77","0","-68.7","5.91","26.502","0","5.96","0","1.234","","3.61","0",2025-10-01,"21:00","","","0.89",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.263","0","29.98","0","2.591","0","76.1","0","5.17","0","","","7.78","0","-69","5.92","26.491","0","4.99","0","1.229","","3.54","0",2025-10-01,"21:15","","","0.87",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.24","0","29.96","0","2.562","0","84.5","0","5.74","0","","","7.81","0","-71.2","5.92","26.473","0","5.23","0","1.22","","5.48","0",2025-10-01,"21:30","","","1.36",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.311","0","30.01","0","2.535","0","88.6","0","6.02","0","","","7.83","0","-72","5.91","26.462","0","5.97","0","1.222","","5.28","0",2025-10-01,"21:45","","","1.3",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.419","0","30.09","0","2.511","0","90.4","0","6.14","0","","","7.83","0","-72.3","5.92","26.452","0","5.7","0","1.22","","5.94","0",2025-10-01,"22:00","","","1.47",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","46.8","0","30.36","0","2.489","0","90.2","0","6.11","0","","","7.84","0","-72.6","5.91","26.514","0","6.07","0","1.227","","5.88","0",2025-10-01,"22:15","","","1.45",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","47","0","30.51","0","2.474","0","89.5","0","6.06","0","","","7.83","0","-72.2","5.92","26.496","0","5.62","0","1.232","","5.8","0",2025-10-01,"22:30","","","1.43",""
