DATE,TIME,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,Level,F_Level,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,FDOMQSU,FDOMRFU,pH,F_pH,pHmV,BATTERY,Turb,F_Turb,WIPERPOSITIONVOLT,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,CHLOROPHYLLRFU,ChlFluor,F_ChlFluor
6/6/2025,14:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.309,0,86.8,0,6.03,0,77.02,25.59,7.48,0,-42.8,6.09,10.03,0,1.2,30.585,0,22.796,0,13.66,0,3.5,14.09,0
6/6/2025,14:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.321,0,89.5,0,6.22,0,76.83,25.52,7.51,0,-44.1,6.1,11.93,0,1.187,30.847,0,21.44,0,12.77,0,3.65,14.69,0
6/6/2025,14:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.315,0,87.3,0,6.04,0,75.72,25.16,7.49,0,-43.1,6.1,12.38,0,1.192,30.838,0,22.716,0,13.6,0,3.86,15.55,0
6/6/2025,15:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.288,0,75.6,0,5.21,0,74.14,24.63,7.43,0,-39.5,6.1,11.71,0,1.192,30.386,0,26.113,0,15.85,0,3.82,15.39,0
6/6/2025,15:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.271,0,90,0,6.19,0,73.58,24.44,7.52,0,-45.2,6.1,16.31,0,1.192,31.136,0,22.806,0,13.65,0,4.27,17.23,0
6/6/2025,15:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.283,0,91.5,0,6.28,0,73.78,24.51,7.54,0,-46.1,6.1,14.91,0,1.19,31.196,0,22.992,0,13.77,0,4.15,16.73,0
6/6/2025,15:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.268,0,95.2,0,6.59,0,73.14,24.29,7.54,0,-46.4,6.11,16.99,0,1.185,31.239,0,20.9,0,12.41,0,3.13,12.59,0
6/6/2025,16:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.255,0,92.9,0,6.36,0,71.8,23.85,7.55,0,-47.2,6.11,16.21,0,1.197,31.101,0,24.402,0,14.7,0,3.96,15.95,0
6/6/2025,16:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.239,0,93,0,6.35,0,72.78,24.17,7.57,0,-48.2,6.11,16.84,0,1.193,31.263,0,24.215,0,14.58,0,3.51,14.12,0
6/6/2025,16:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.221,0,90.8,0,6.21,0,72.46,24.07,7.56,0,-47.3,6.11,16.8,0,1.2,31.114,0,24.925,0,15.05,0,3.42,13.79,0
6/6/2025,16:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.2,0,98.7,0,6.84,0,74.09,24.61,7.65,0,-52.8,6.11,15.97,0,1.195,31.092,0,21.207,0,12.61,0,3.79,15.26,0
6/6/2025,17:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.174,0,104.1,0,7.24,0,71.65,23.8,7.73,0,-58.1,6.11,17.53,0,1.191,31.021,0,20.446,0,12.12,0,3.53,14.22,0
6/6/2025,17:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.143,0,103.4,0,7.16,0,71.89,23.88,7.73,0,-57.9,6.11,17.29,0,1.2,31.043,0,21.218,0,12.62,0,3.38,13.63,0
6/6/2025,17:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.114,0,103.2,0,7.16,0,71.65,23.79,7.75,0,-59.2,6.12,16.22,0,1.186,30.872,0,21.747,0,12.97,0,3.52,14.2,0
6/6/2025,17:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.084,0,100.4,0,6.89,0,70.5,23.41,7.72,0,-57,6.12,16.45,0,1.194,30.979,0,24.36,0,14.68,0,3.43,13.8,0
6/6/2025,18:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.045,0,100,0,6.85,0,69.11,22.95,7.74,0,-58.2,6.12,17.85,0,1.193,30.932,0,24.973,0,15.08,0,3.36,13.55,0
6/6/2025,18:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.009,0,100.1,0,6.85,0,67.16,22.3,7.75,0,-59.2,6.12,21.25,0,1.197,30.84,0,25.763,0,15.61,0,3.47,13.97,0
6/6/2025,18:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,0.022,0,95.6,0,6.51,0,65.83,21.85,7.72,0,-57.3,6.12,22.17,0,1.199,30.669,0,27.603,0,16.84,0,3.59,14.45,0
6/6/2025,18:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,0.055,0,97.9,0,6.67,0,66.32,22.01,7.75,0,-59.1,6.12,18.38,0,1.202,30.647,0,27.885,0,17.03,0,3.65,14.71,0
6/6/2025,19:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,0.089,0,96.4,0,6.55,0,65.71,21.81,7.75,0,-59,6.12,18.61,0,1.186,30.611,0,28.824,0,17.66,0,4.16,16.78,0
6/6/2025,19:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,0.117,0,96.1,0,6.51,0,65.07,21.6,7.76,0,-59.4,6.12,17.14,0,1.196,30.59,0,29.625,0,18.21,0,4.3,17.33,0
6/6/2025,19:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,0.136,0,93.7,0,6.34,0,64.58,21.43,7.74,0,-58.6,6.12,16.11,0,1.2,30.508,0,30.205,0,18.6,0,4.34,17.51,0
6/6/2025,19:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,0.154,0,91.8,0,6.19,0,63.25,20.99,7.74,0,-58.3,6.13,15.69,0,1.199,30.479,0,31.04,0,19.17,0,4.25,17.12,0
6/6/2025,20:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,0.162,0,90.9,0,6.11,0,61.59,20.44,7.74,0,-58.4,6.13,15.62,0,1.2,30.479,0,32.096,0,19.89,0,4.26,17.19,0
6/6/2025,20:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,0.16,0,87.1,0,5.84,0,60.12,19.94,7.71,0,-56.8,6.13,14.37,0,1.199,30.461,0,32.882,0,20.43,0,3.94,15.88,0
6/6/2025,20:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,0.153,0,85.2,0,5.7,0,58.94,19.55,7.7,0,-56.1,6.13,14.23,0,1.193,30.479,0,33.326,0,20.73,0,4.16,16.76,0
6/6/2025,20:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,0.136,0,76.6,0,5.13,0,59.71,19.81,7.63,0,-51.6,6.13,14.42,0,1.19,30.319,0,34.017,0,21.21,0,3.68,14.83,0
6/6/2025,21:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,0.119,0,81.8,0,5.49,0,61.6,20.44,7.66,0,-53.4,6.13,14.11,0,1.185,30.349,0,33.14,0,20.61,0,3.81,15.35,0
6/6/2025,21:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,0.1,0,78.9,0,5.32,0,62.03,20.58,7.63,0,-51.9,6.13,15.74,0,1.193,30.303,0,32.395,0,20.1,0,3.86,15.54,0
6/6/2025,21:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,0.081,0,81.7,0,5.52,0,65,21.57,7.65,0,-53,6.13,15.44,0,1.194,30.372,0,31.21,0,19.29,0,3.84,15.47,0
6/6/2025,21:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,0.06,0,82.2,0,5.6,0,67.15,22.29,7.64,0,-52.4,6.13,14.33,0,1.186,30.367,0,29.023,0,17.8,0,3.88,15.62,0
6/6/2025,22:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,0.038,0,81,0,5.52,0,67.46,22.4,7.63,0,-51.8,6.13,15.1,0,1.193,30.389,0,28.795,0,17.65,0,3.84,15.48,0
6/6/2025,22:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,0.017,0,76.6,0,5.2,0,66.2,21.97,7.59,0,-49,6.13,15.56,0,1.184,30.351,0,30.23,0,18.62,0,3.71,14.95,0
6/6/2025,22:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.004,0,75,0,5.09,0,66.88,22.2,7.59,0,-48.9,6.13,14.65,0,1.2,30.357,0,30.155,0,18.57,0,3.64,14.65,0
6/6/2025,22:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.025,0,73.8,0,5,0,65.91,21.88,7.58,0,-48.9,6.13,15.14,0,1.186,30.322,0,31.009,0,19.15,0,3.82,15.38,0
6/6/2025,23:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.046,0,69.4,0,4.7,0,66.13,21.95,7.52,0,-44.9,6.13,14.74,0,1.192,30.288,0,30.992,0,19.14,0,3.59,14.45,0
6/6/2025,23:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.065,0,68.8,0,4.65,0,66.51,22.08,7.53,0,-45.6,6.13,14.14,0,1.191,30.295,0,31.264,0,19.33,0,3.79,15.25,0
6/6/2025,23:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.083,0,73.2,0,4.96,0,67.62,22.45,7.56,0,-47.6,6.13,14.39,0,1.183,30.33,0,30.509,0,18.81,0,3.82,15.41,0
6/6/2025,23:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.102,0,75.3,0,5.14,0,69.9,23.21,7.57,0,-47.9,6.13,14.02,0,1.196,30.365,0,28.704,0,17.59,0,3.64,14.66,0
6/7/2025,0:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.121,0,70.9,0,4.82,0,68.67,22.8,7.54,0,-46,6.13,13.9,0,1.19,30.313,0,29.866,0,18.38,0,3.66,14.75,0
6/7/2025,0:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.14,0,70.2,0,4.78,0,69.25,22.99,7.54,0,-45.9,6.13,13.21,0,1.193,30.319,0,29.503,0,18.13,0,3.65,14.7,0
6/7/2025,0:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.157,0,65.3,0,4.42,0,67.14,22.29,7.48,0,-42.6,6.14,13.52,0,1.193,30.285,0,30.925,0,19.1,0,3.62,14.57,0
6/7/2025,0:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.174,0,65.8,0,4.46,0,67.64,22.46,7.49,0,-43.4,6.14,12.56,0,1.186,30.283,0,30.862,0,19.05,0,3.8,15.3,0
6/7/2025,1:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.191,0,65.4,0,4.44,0,68.28,22.67,7.49,0,-43.3,6.13,12.33,0,1.191,30.282,0,30.462,0,18.78,0,3.85,15.52,0
6/7/2025,1:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.204,0,65,0,4.42,0,68.69,22.81,7.47,0,-41.9,6.14,12.3,0,1.202,30.287,0,30.053,0,18.5,0,3.63,14.64,0
6/7/2025,1:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.219,0,65.7,0,4.48,0,69.26,23,7.48,0,-42.3,6.13,11.49,0,1.183,30.276,0,29.166,0,17.9,0,3.58,14.42,0
6/7/2025,1:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.233,0,64.3,0,4.38,0,70.31,23.35,7.45,0,-40.6,6.14,12.17,0,1.197,30.261,0,29.236,0,17.95,0,3.63,14.61,0
6/7/2025,2:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.248,0,66,0,4.52,0,70.8,23.51,7.46,0,-41.6,6.14,9.98,0,1.197,30.239,0,28.263,0,17.3,0,3.72,14.97,0
6/7/2025,2:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.263,0,64.8,0,4.44,0,71.29,23.67,7.43,0,-39.6,6.14,10.6,0,1.197,30.223,0,28.021,0,17.13,0,3.49,14.07,0
6/7/2025,2:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.274,0,63.8,0,4.39,0,72.77,24.17,7.41,0,-38.3,6.14,10.62,0,1.186,30.184,0,27.069,0,16.49,0,3.39,13.64,0
6/7/2025,2:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.284,0,63.7,0,4.4,0,73.05,24.26,7.41,0,-38.4,6.14,9.95,0,1.201,30.167,0,26.458,0,16.09,0,3.4,13.69,0
6/7/2025,3:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.293,0,65.3,0,4.52,0,74.74,24.83,7.41,0,-38,6.14,9.66,0,1.196,30.142,0,25.58,0,15.5,0,3.24,13.05,0
6/7/2025,3:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.3,0,65,0,4.5,0,74.73,24.82,7.41,0,-38.1,6.14,9.53,0,1.189,30.144,0,25.375,0,15.37,0,3.34,13.45,0
6/7/2025,3:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.308,0,65.9,0,4.59,0,76.08,25.27,7.4,0,-37.4,6.14,9.83,0,1.201,30.083,0,24.761,0,14.96,0,3.3,13.28,0
6/7/2025,3:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.317,0,65.4,0,4.55,0,76.67,25.47,7.38,0,-36.5,6.14,9.87,0,1.202,30.063,0,24.537,0,14.81,0,3.26,13.13,0
6/7/2025,4:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.318,0,65.4,0,4.56,0,77.19,25.64,7.38,0,-36.7,6.14,8.49,0,1.192,30.053,0,24.023,0,14.47,0,3.3,13.27,0
6/7/2025,4:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.307,0,67.5,0,4.74,0,79.44,26.4,7.39,0,-37.2,6.14,8.93,0,1.191,30.021,0,22.592,0,13.53,0,3.05,12.29,0
6/7/2025,4:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.292,0,69.7,0,4.94,0,81.8,27.18,7.39,0,-37,6.14,9.21,0,1.198,29.811,0,20.875,0,12.42,0,2.76,11.12,0
6/7/2025,4:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.282,0,70.1,0,5.04,0,85.44,28.4,7.36,0,-35.4,6.14,9.42,0,1.188,29.333,0,18.918,0,11.16,0,2.67,10.76,0
6/7/2025,5:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.266,0,71.3,0,5.18,0,86.27,28.68,7.37,0,-35.8,6.14,10.06,0,1.192,29.011,0,17.856,0,10.48,0,2.52,10.14,0
6/7/2025,5:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.245,0,71.9,0,5.23,0,88.56,29.44,7.37,0,-35.9,6.14,9.11,0,1.188,28.959,0,17.739,0,10.41,0,2.45,9.84,0
6/7/2025,5:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.221,0,70,0,5.06,0,86.85,28.87,7.37,0,-35.7,6.14,10.35,0,1.185,28.968,0,19.209,0,11.35,0,2.57,10.34,0
6/7/2025,5:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.198,0,70.6,0,5.12,0,85.73,28.5,7.39,0,-37.1,6.14,10.51,0,1.2,28.67,0,19.817,0,11.75,0,2.61,10.49,0
6/7/2025,6:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.176,0,70.3,0,5.08,0,84.2,27.99,7.42,0,-38.4,6.14,10.7,0,1.184,28.612,0,20.9,0,12.45,0,2.5,10.05,0
6/7/2025,6:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.151,0,69.2,0,4.98,0,83.86,27.87,7.41,0,-38.1,6.14,10.47,0,1.2,28.749,0,21.342,0,12.74,0,2.49,10.02,0
6/7/2025,6:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.128,0,68.1,0,4.89,0,82.26,27.34,7.41,0,-38.2,6.14,11.78,0,1.194,28.727,0,21.972,0,13.15,0,2.86,11.53,0
6/7/2025,6:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.105,0,68.2,0,4.88,0,81.62,27.13,7.42,0,-38.8,6.14,11.24,0,1.185,28.82,0,22.743,0,13.65,0,2.82,11.34,0
6/7/2025,7:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.081,0,70.8,0,5.11,0,82.07,27.27,7.45,0,-40.3,6.15,10.75,0,1.194,28.417,0,22.249,0,13.33,0,2.65,10.66,0
6/7/2025,7:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.061,0,69,0,4.94,0,80.26,26.67,7.45,0,-40.4,6.15,11.43,0,1.185,28.601,0,23.67,0,14.27,0,2.86,11.5,0
6/7/2025,7:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.043,0,67.6,0,4.8,0,77.48,25.74,7.45,0,-40.4,6.15,13.22,0,1.183,28.756,0,25.001,0,15.14,0,3.28,13.2,0
6/7/2025,7:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.029,0,61.2,0,4.27,0,72.32,24.02,7.44,0,-40,6.14,14.82,0,1.193,29.214,0,27.727,0,16.96,0,3.33,13.39,0
6/7/2025,8:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.018,0,57,0,3.97,0,70.59,23.44,7.39,0,-37.3,6.15,14.64,0,1.188,29.239,0,27.877,0,17.06,0,3.05,12.28,0
6/7/2025,8:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.016,0,55,0,3.8,0,70.1,23.28,7.42,0,-38.6,6.15,14.57,0,1.193,29.326,0,29.571,0,18.2,0,3.16,12.73,0
6/7/2025,8:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.02,0,48.5,0,3.33,0,67.45,22.39,7.37,0,-36,6.15,13.82,0,1.196,29.559,0,30.454,0,18.79,0,2.6,10.45,0
6/7/2025,8:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.035,0,45,0,3.07,0,64.25,21.32,7.36,0,-35,6.15,14.89,0,1.191,29.635,0,31.993,0,19.84,0,2.78,11.2,0
6/7/2025,9:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.049,0,51.7,0,3.53,0,65.06,21.6,7.45,0,-40.6,6.15,16.34,0,1.187,29.676,0,32.032,0,19.87,0,3.14,12.65,0
6/7/2025,9:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.065,0,52.8,0,3.61,0,65.77,21.83,7.46,0,-41,6.14,16.46,0,1.193,29.624,0,31.838,0,19.73,0,3.24,13.03,0
6/7/2025,9:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.086,0,54.7,0,3.75,0,68.21,22.65,7.45,0,-40.8,6.15,13.73,0,1.192,29.678,0,30.855,0,19.06,0,3.22,12.97,0
6/7/2025,9:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.103,0,53.2,0,3.64,0,67.71,22.48,7.44,0,-40,6.15,14.57,0,1.188,29.603,0,31.129,0,19.25,0,3.13,12.6,0
6/7/2025,10:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.117,0,53,0,3.63,0,67.5,22.41,7.41,0,-38.1,6.15,12.94,0,1.194,29.587,0,31.176,0,19.28,0,2.9,11.67,0
6/7/2025,10:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.131,0,49.2,0,3.37,0,67.88,22.54,7.4,0,-37.5,6.15,12.2,0,1.192,29.595,0,31.298,0,19.37,0,3.03,12.2,0
6/7/2025,10:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.151,0,50.5,0,3.46,0,68.03,22.59,7.41,0,-38,6.15,11.55,0,1.191,29.616,0,30.974,0,19.14,0,2.98,12.01,0
6/7/2025,10:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.167,0,50.8,0,3.48,0,67.61,22.45,7.4,0,-37.6,6.15,12,0,1.188,29.633,0,31.05,0,19.2,0,3.16,12.73,0
6/7/2025,11:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.18,0,51.8,0,3.55,0,68.58,22.77,7.41,0,-38.2,6.15,12.01,0,1.193,29.641,0,30.969,0,19.14,0,3.16,12.74,0
6/7/2025,11:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.198,0,52.7,0,3.61,0,68.64,22.79,7.42,0,-38.5,6.15,11.57,0,1.198,29.671,0,30.335,0,18.71,0,3.1,12.47,0
6/7/2025,11:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.211,0,52.2,0,3.58,0,67.95,22.56,7.42,0,-38.6,6.16,13.04,0,1.193,29.67,0,30.594,0,18.88,0,3.31,13.33,0
6/7/2025,11:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.225,0,53.5,0,3.67,0,69.47,23.07,7.41,0,-38.4,6.15,11.14,0,1.184,29.686,0,30.236,0,18.64,0,3.49,14.07,0
6/7/2025,12:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.241,0,53.5,0,3.67,0,69.77,23.17,7.41,0,-38.3,6.15,11.6,0,1.198,29.698,0,30.168,0,18.59,0,3.52,14.18,0
6/7/2025,12:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.254,0,54.4,0,3.73,0,69.92,23.22,7.42,0,-38.6,6.15,12.23,0,1.185,29.703,0,30.054,0,18.52,0,3.66,14.76,0
6/7/2025,12:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.267,0,54.5,0,3.75,0,71.08,23.61,7.41,0,-38.1,6.15,11.74,0,1.197,29.716,0,29.518,0,18.15,0,3.6,14.5,0
6/7/2025,12:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.28,0,56.1,0,3.85,0,71.3,23.68,7.41,0,-38.4,6.15,10.29,0,1.185,29.73,0,29.541,0,18.17,0,3.81,15.35,0
6/7/2025,13:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.294,0,56.4,0,3.88,0,71.74,23.83,7.41,0,-38,6.15,10.4,0,1.199,29.744,0,29.181,0,17.92,0,3.73,15.01,0
