"station_code","fullstationname","datetimestamp","monitoringprogram","rep","F_Record","PO4F","F_PO4F","TP","F_TP","TDP","F_TDP","NH4F","F_NH4F","NO23F","F_NO23F","TKN","F_TKN","TKNF","F_TKNF","CHLA_N","F_CHLA_N","UncCHLa_N","F_UncCHLa_N","PHEA","F_PHEA","TSS","F_TSS","color","F_color","FECCOL_CFU","F_FECCOL_CFU","ENTERO_MPN","F_ENTERO_MPN","DOC","F_DOC","TOTALK","F_TOTALK","adjustedtimestamp"
"gtmssnut","gtmssnut1.2","2025-12-03 09:12:00","1","2","","0.011","","0.041","","0.021","","0.017","","0.008","I","0.30","I","0.29","I","4.8","","6.2","","1.9","I","22","","2.0","U","44","BQ","20.0","Q","3.6","I","","","2025-12-03 09:12:00"
"gtmpcnut","gtmpcnut2.1","2025-12-16 09:30:00","2","1","","0.019","Q","0.048","","0.034","","0.015","","0.003","I","0.40","","0.32","I","2.1","IQ","2.6","AQ","1.3","UQ","8","I","","","","","","","6.3","","","","2025-12-16 09:30:00"
"gtmpcnut","gtmpcnut2.10","2025-12-17 08:00:00","2","10","","0.022","","0.055","","","","0.016","","0.006","I","0.48","","","","3.4","","4.0","","1.3","U","11","","","","","","20.0","Q","7.7","","","","2025-12-17 08:00:00"
"gtmpcnut","gtmpcnut2.11","2025-12-17 10:30:00","2","11","","0.018","","0.046","","","","0.011","","0.004","I","0.39","I","","","2.4","","3.1","","1.0","I","14","","","","","","31.0","Q","5.8","","","","2025-12-17 10:30:00"
"gtmpcnut","gtmpcnut2.3","2025-12-16 14:30:00","2","3","","0.027","Q","0.055","","","","0.016","","0.008","I","0.41","","","","3.6","","4.3","","1.1","U","9","I","","","","","41.0","Q","7.3","","","","2025-12-16 14:30:00"
"gtmpcnut","gtmpcnut2.4","2025-12-16 17:00:00","2","4","","0.027","","0.066","","","","0.016","","0.008","I","0.47","","","","4.1","","5.4","","2.0","I","13","","","","","","85.0","AQ","8.0","","","","2025-12-16 17:00:00"
"gtmpcnut","gtmpcnut2.5","2025-12-16 19:30:00","2","5","","0.023","","0.060","","","","0.012","","0.008","I","0.39","I","","","3.0","","4.1","","1.6","I","10","","","","","","20.0","Q","7.7","","","","2025-12-16 19:30:00"
"gtmpcnut","gtmpcnut2.6","2025-12-16 22:00:00","2","6","","0.024","","0.054","","","","0.014","","0.007","I","0.39","I","","","2.4","","3.2","","1.2","I","8","I","","","","","10.0","Q","7.3","","","","2025-12-16 22:00:00"
"gtmpcnut","gtmpcnut2.7","2025-12-17 00:30:00","2","7","","0.023","","0.056","","","","0.016","","0.008","I","0.41","","","","3.6","","4.6","","1.4","I","11","","","","","","31.0","Q","7.5","","","","2025-12-17 00:30:00"
"gtmpcnut","gtmpcnut2.8","2025-12-17 03:00:00","2","8","","0.025","","0.056","","","","0.016","","0.01","I","0.42","","","","2.8","","3.7","","1.3","I","7","I","","","","","52.0","Q","7.5","","","","2025-12-17 03:00:00"
"gtmpcnut","gtmpcnut2.9","2025-12-17 05:30:00","2","9","","0.028","","0.057","","","","0.018","","0.010","","0.49","","","","2.4","","3.2","","1.2","I","6","I","","","","","75.0","Q","8.1","","","","2025-12-17 05:30:00"
"gtmpcnut","gtmpcnut2.2","2025-12-16 12:00:00","2","2","","0.026","Q","0.060","","","","0.016","","0.008","I","0.43","","","","3.2","","3.7","","1.1","U","10","I","","","","","","","7.5","","","","2025-12-16 12:00:00"
