station_code,fullstationname,datetimestamp,monitoringprogram,rep,F_Record,PO4F,F_PO4F,TP,F_TP,TDP,F_TDP,NH4F,F_NH4F,NO23F,F_NO23F,TKN,F_TKN,TKNF,F_TKNF,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,color,F_color,FECCOL_CFU,F_FECCOL_CFU,ENTERO_MPN,F_ENTERO_MPN,DOC,F_DOC,TOTALK,F_TOTALK,adjustedtimestamp
gtmssnut,gtmssnut1.1,2/12/2025 11:33,1,1,,0.011,,0.037,,0.017,,0.008,,0.01,,0.25,I,0.16,U,4.2,,5.1,,1.4,U,12,,2.5,U,31,BQ,10,Q,3.4,I,,,2/12/2025 11:33
gtmssnut,gtmssnut1.2,2/12/2025 11:35,1,2,,0.012,,0.038,,0.019,,0.008,,0.014,,0.23,I,0.16,U,4.3,,5.1,,1.4,U,12,,2.5,U,8,JBQ,10,Q,3,I,,,2/12/2025 11:35
gtmpcnut,gtmpcnut2.1,2/25/2025 9:45,2,1,,0.026,Q,0.053,,0.032,,0.022,,0.013,,0.39,I,0.29,I,3.4,IQ,4.5,Q,1.7,UQ,16,,,,,,,,6.7,,,,2/25/2025 9:45
gtmpcnut,gtmpcnut2.10,2/26/2025 8:15,2,10,,0.035,,0.072,,,,0.04,,0.01,,0.44,,,,3.1,,4.2,,1.6,I,19,,,,,,132,Q,9.2,,,,2/26/2025 8:15
gtmpcnut,gtmpcnut2.11,2/26/2025 10:45,2,11,,0.027,,0.055,,,,0.022,,0.01,,0.34,I,,,3.5,,4.5,,1.5,I,23,A,,,,,20,Q,6.7,,,,2/26/2025 10:45
gtmpcnut,gtmpcnut2.2,2/25/2025 12:15,2,2,,0.035,Q,0.077,,,,0.045,,0.012,,0.47,,,,3.9,I,5.4,,2.3,I,24,,,,,,,,8.7,,,,2/25/2025 12:15
gtmpcnut,gtmpcnut2.3,2/25/2025 14:45,2,3,,0.041,,0.072,,,,0.038,,0.09,,0.44,,,,3.8,,4.6,,1.2,I,12,,,,,,103,AQ,11,,,,2/25/2025 14:45
gtmpcnut,gtmpcnut2.4,2/25/2025 17:15,2,4,,0.041,,0.073,,,,0.046,,0.011,,0.46,,,,2.9,,3.6,,1,U,9,I,,,,,175,Q,12,,,,2/25/2025 17:15
gtmpcnut,gtmpcnut2.5,2/25/2025 19:45,2,5,,0.037,,0.075,,,,0.038,,0.01,,0.49,,,,3,,4.3,,1.9,I,14,,,,,,52,Q,9.8,,,,2/25/2025 19:45
gtmpcnut,gtmpcnut2.6,2/25/2025 22:15,2,6,,0.034,,0.07,,,,0.028,,0.009,I,0.44,,,,3.2,,4.4,,1.9,I,20,,,,,,52,Q,9.1,,,,2/25/2025 22:15
gtmpcnut,gtmpcnut2.7,2/26/2025 0:45,2,7,,0.041,,0.076,,,,0.05,,0.013,,0.49,,,,2.2,I,3.3,,1.6,I,12,,,,,,118,Q,11,,,,2/26/2025 0:45
gtmpcnut,gtmpcnut2.8,2/26/2025 3:15,2,8,,0.043,,0.074,,,,0.057,,0.012,,0.51,,,,1.8,I,2.3,,1,U,9,I,,,,,146,Q,12,,,,2/26/2025 3:15
gtmpcnut,gtmpcnut2.9,2/26/2025 5:45,2,9,,0.041,,0.072,,,,0.057,,0.012,,0.47,,,,1.9,I,2.4,,1,U,8,I,,,,,256,Q,13,,,,2/26/2025 5:45
gtmfmnut,gtmfmnut1.1,3/26/2025 8:21,1,1,,0.013,,0.037,,0.024,,0.025,,0.004,U,0.34,I,0.23,I,2.3,,3,,0.96,I,22,A,5,U,4,UQ,20,Q,3.6,I,,,3/26/2025 7:21
gtmfmnut,gtmfmnut1.2,3/26/2025 8:22,1,2,,0.013,,0.04,,0.024,,0.024,,0.004,U,0.29,I,0.27,I,2.3,,2.9,,0.89,I,21,,2.5,U,3,BQ,10,UQ,3.3,I,,,3/26/2025 7:22
gtmpcnut,gtmpcnut1.1,3/26/2025 10:46,1,1,,0.025,,0.083,,0.04,,0.006,,0.004,U,0.67,,0.49,,13,,16,,4,,27,,58,,17,BQ,10,UQ,10,,,,3/26/2025 9:46
gtmpcnut,gtmpcnut1.2,3/26/2025 10:48,1,2,,0.027,,0.082,,0.04,,0.006,,0.004,U,0.81,,0.35,I,13,,16,,3.4,,26,,63,,33,BQ,10,Q,10,,,,3/26/2025 9:48
gtmpinut,gtmpinut1.1,3/26/2025 11:18,1,1,,0.021,,0.066,,0.036,,0.009,,0.004,I,0.62,,0.47,,6.7,,9.1,,3.6,,28,,25,,3,BQ,10,UQ,8.5,,,,3/26/2025 10:18
gtmpinut,gtmpinut1.2,3/26/2025 11:19,1,2,,0.02,,0.067,,0.036,,0.008,,0.004,U,0.58,,0.49,,7.4,,9.8,,3.5,,26,,25,,3,UQ,10,UQ,8.4,,,,3/26/2025 10:19
gtmssnut,gtmssnut1.2,3/26/2025 9:36,1,2,,0.02,,0.049,,0.029,,0.037,,0.026,,0.39,I,0.2,I,4,A,5,A,1.5,I,21,,7.5,U,3,BQ,20,Q,3.5,I,,,3/26/2025 8:36
gtmssnut,gtmssnut1.1,3/26/2025 9:34,1,1,,0.019,,0.05,,0.029,,0.034,,0.026,,0.31,I,0.27,I,3.9,,5.4,,2.3,,22,,2.5,U,8,BQ,20,Q,3.7,I,,,3/26/2025 8:34
gtmpcnut,gtmpcnut2.1,3/25/2025 9:30,2,1,,0.027,Q,0.097,,0.039,,0.033,,0.004,U,0.45,,0.29,I,6.7,,8.3,,2.2,I,27,,,,,,,,9.4,,,,3/25/2025 8:30
gtmpcnut,gtmpcnut2.10,3/26/2025 8:00,2,10,,0.03,,0.079,,,,0.002,U,0.004,U,0.56,,,,12,,14,,2.7,I,22,,,,,,10,Q,11,,,,3/26/2025 7:00
gtmpcnut,gtmpcnut2.11,3/26/2025 10:30,2,11,,0.024,,0.073,,,,0.003,I,0.004,I,0.63,,,,15,,18,,4,,32,,,,,,10,Q,8.8,,,,3/26/2025 9:30
gtmpcnut,gtmpcnut2.2,3/25/2025 12:00,2,2,,0.028,Q,0.071,,,,0.044,,0.004,U,0.49,,,,6.8,,8.9,,3.1,I,27,,,,,,,,9.8,,,,3/25/2025 11:00
gtmpcnut,gtmpcnut2.3,3/25/2025 14:30,2,3,,0.031,Q,0.072,,,,0.054,,0.004,U,0.48,,,,6.5,,7.9,,2,I,29,,,,,,10,UQ,10,,,,3/25/2025 13:30
gtmpcnut,gtmpcnut2.4,3/25/2025 17:00,2,4,,0.03,,0.084,,,,0.008,,0.004,U,0.41,,,,8.6,,10,,2.5,I,26,,,,,,20,Q,14,,,,3/25/2025 16:00
gtmpcnut,gtmpcnut2.5,3/25/2025 19:30,2,5,,0.024,,0.098,,,,0.005,I,0.004,U,0.65,,,,11,,14,,4.5,,29,,,,,,10,Q,11,,,,3/25/2025 18:30
gtmpcnut,gtmpcnut2.6,3/25/2025 22:00,2,6,,0.023,,0.072,,,,0.004,I,0.004,U,0.41,,,,12,,14,,3.8,,35,,,,,,10,UQ,11,,,,3/25/2025 21:00
gtmpcnut,gtmpcnut2.7,3/26/2025 0:30,2,7,,0.025,,0.068,,,,0.016,,0.004,U,0.51,,,,12,,15,,4.4,,17,,,,,,10,UQ,10,,,,3/25/2025 23:30
gtmpcnut,gtmpcnut2.8,3/26/2025 3:00,2,8,,0.031,,0.074,,,,0.018,,0.004,U,0.54,,,,8.5,,11,,3,I,18,,,,,,10,Q,11,,,,3/26/2025 2:00
gtmpcnut,gtmpcnut2.9,3/26/2025 5:30,2,9,,0.033,,0.069,,,,0.01,,0.004,U,0.58,,,,12,,14,,2.6,I,16,,,,,,10,Q,12,,,,3/26/2025 4:30
gtmfmnut,gtmfmnut1.1,4/9/2025 8:12,1,1,,0.016,,0.048,,0.023,,0.03,,0.004,I,0.28,I,0.22,I,4.4,,5.6,,1.8,I,15,,2.5,U,6,BQ,10,UQ,2.6,I,,,4/9/2025 7:12
gtmfmnut,gtmfmnut1.2,4/9/2025 8:14,1,2,,0.015,,0.048,,0.023,,0.027,,0.004,I,0.33,I,0.16,I,4.5,,5.4,,1.2,I,16,,12,U,3,UQ,10,Q,2.6,I,,,4/9/2025 7:14
gtmpcnut,gtmpcnut1.1,4/9/2025 11:18,1,1,,0.028,,0.092,,0.045,,0.004,I,0.004,U,0.91,,0.51,,15,,18,,3.8,,36,,42,,19,BQ,10,Q,9.9,,,,4/9/2025 10:18
gtmpcnut,gtmpcnut1.2,4/9/2025 11:20,1,2,,0.029,,0.095,,0.044,,0.008,,0.004,U,0.82,,0.53,,16,,19,,4.3,,38,,42,,17,BQ,20,Q,8.6,,,,4/9/2025 10:20
gtmpinnut,gtmpinnut1.1,4/9/2025 11:15,1,1,,0.024,,0.063,,0.036,,0.01,,0.004,U,0.37,I,0.4,I,6.7,,8.6,,2.7,I,27,,7.7,A,3,UQ,10,Q,4.8,,,,4/9/2025 10:15
gtmpinnut,gtmpinnut1.2,4/9/2025 11:17,1,2,,0.024,,0.071,,0.037,,0.01,,0.004,U,0.44,,0.29,I,6.8,,8.5,,2.3,I,28,,6.4,,3,UQ,10,UQ,4.9,,,,4/9/2025 10:17
gtmssnut,gtmssnut1.1,4/9/2025 9:27,1,1,,0.011,,0.05,,0.018,,0.008,,0.005,I,0.18,I,0.16,U,7.7,,9.5,,2.5,I,29,,12,U,3,UQ,10,UQ,2.4,I,,,4/9/2025 8:27
gtmssnut,gtmssnut1.2,4/9/2025 9:29,1,2,,0.011,,0.05,,0.018,,0.011,,0.006,I,0.29,I,0.17,I,7.6,,9.1,,2,I,30,,12,U,6,BQ,10,UQ,2.5,I,,,4/9/2025 8:29
gtmpcnut,gtmpcnut2.1,4/23/2025 9:30,2,1,,0.033,Q,0.087,,0.051,,0.016,,0.005,I,0.63,,0.55,,8.3,Q,10,Q,2.3,IQ,15,,,,,,,,7.7,,,,4/23/2025 8:30
gtmpcnut,gtmpcnut2.10,4/24/2025 8:00,2,10,,0.03,,0.082,,,,0.006,,0.004,U,0.77,,,,9.2,,10,,2.1,U,16,,,,,,31,Q,8,,,,4/24/2025 7:00
gtmpcnut,gtmpcnut2.11,4/24/2025 10:30,2,11,,0.032,,0.082,,,,0.004,I,0.004,U,0.78,,,,11,,13,,2.1,I,12,A,,,,,10,Q,7.6,,,,4/24/2025 9:30
gtmpcnut,gtmpcnut2.2,4/23/2025 12:00,2,2,,0.034,Q,0.088,,,,0.016,,0.004,U,0.63,,,,11,,13,,3.1,,17,,,,,,,,8.3,,,,4/23/2025 11:00
gtmpcnut,gtmpcnut2.3,4/23/2025 14:30,2,3,,0.034,,0.088,,,,0.004,I,0.004,U,0.7,,,,12,,14,,2.5,I,14,,,,,,10,UQ,8.8,,,,4/23/2025 13:30
gtmpcnut,gtmpcnut2.4,4/23/2025 17:00,2,4,,0.031,,0.096,,,,0.004,I,0.004,U,0.69,,,,9.6,,11,,1.6,U,18,,,,,,10,Q,8.4,,,,4/23/2025 16:00
gtmpcnut,gtmpcnut2.5,4/23/2025 19:30,2,5,,0.027,,0.095,,,,0.004,I,0.004,U,0.8,,,,9,,10,,1.8,I,22,,,,,,20,Q,8.7,,,,4/23/2025 18:30
gtmpcnut,gtmpcnut2.6,4/23/2025 22:00,2,6,,0.029,,0.09,,,,0.004,I,0.004,U,0.72,,,,8.6,,10,,1.8,I,22,,,,,,10,UQ,8,,,,4/23/2025 21:00
gtmpcnut,gtmpcnut2.7,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,UQ,,,,,
gtmpcnut,gtmpcnut2.7,4/24/2025 0:30,2,7,,0.03,,0.089,,,,0.005,I,0.004,U,0.74,,,,8.8,,11,,2.6,I,15,,,,,,,,8.8,,,,4/23/2025 23:30
gtmpcnut,gtmpcnut2.8,4/24/2025 3:00,2,8,,0.032,,0.075,,,,0.004,I,0.004,U,0.69,,,,8.9,,11,,2.3,I,9,I,,,,,10,Q,8.6,,,,4/24/2025 2:00
gtmpcnut,gtmpcnut2.9,4/24/2025 5:30,2,9,,0.031,,0.077,,,,0.007,,0.004,U,0.8,,,,8.1,,9.8,,2.3,,8,I,,,,,30,Q,8.4,,,,4/24/2025 4:30
gtmfmnut,gtmfmnut1.1,5/28/2025 11:21,1,1,,0.006,I,0.027,,0.018,,0.016,,0.004,U,0.35,I,0.28,I,3.8,A,3.8,A,1.1,U,8,IA,12,U,6,BQ,10,Q,2.5,I,,,5/28/2025 10:21
gtmfmnut,gtmfmnut1.2,5/28/2025 11:23,1,2,,0.007,I,0.025,,0.018,,0.016,,0.004,I,0.47,,0.32,I,3.4,,3.6,,0.63,U,7,I,7.5,U,6,BQ,10,UQ,2.4,I,,,5/28/2025 10:23
gtmpcnut,gtmpcnut1.1,5/28/2025 14:07,1,1,,0.044,,0.093,,0.061,,0.005,,0.004,U,0.6,,0.37,I,15,,16,,1.6,U,24,,35,,11,BQ,10,Q,8,,,,5/28/2025 13:07
gtmpcnut,gtmpcnut1.2,5/28/2025 14:08,1,2,,0.045,,0.093,,0.061,,0.006,,0.004,U,0.61,,0.45,,13,,14,,1.6,U,26,,36,,14,BQ,10,Q,7.9,,,,5/28/2025 13:08
gtmpinut,gtmpinut1.1,5/28/2025 13:30,1,1,,0.02,,0.066,,0.039,,0.01,,0.004,U,0.56,,0.49,,15,,16,,2.1,U,35,,8.4,,3,UQ,10,UQ,6.1,,,,5/28/2025 12:30
gtmpinut,gtmpinut1.2,5/28/2025 13:32,1,2,,0.022,,0.076,,0.038,,0.009,,0.004,U,0.5,,0.48,,15,,17,,3.7,,37,,10,,3,UQ,10,UQ,5.7,,,,5/28/2025 12:32
gtmssnut,gtmssnut1.1,5/28/2025 12:19,1,1,,0.014,,0.047,,0.023,,0.018,,0.011,,0.48,,0.33,I,6.6,,8,,1.8,I,23,,7.5,U,3,UQ,10,UQ,2.8,I,,,5/28/2025 11:19
gtmssnut,gtmssnut1.2,5/28/2025 12:21,1,2,,0.012,,0.044,,0.023,,0.016,,0.01,I,0.41,,0.3,I,6.3,,7.4,,1.5,I,22,,12,U,3,BQ,10,UQ,2.6,I,,,5/28/2025 11:21
gtmpcnut,gtmpcnut2.1,5/14/2025 9:30,2,1,,0.046,Q,0.091,,0.062,,0.012,,0.004,U,0.54,,0.36,I,8,,10,,3.3,,8,IA,,,,,,,8.5,,,,5/14/2025 8:30
gtmpcnut,gtmpcnut2.10,5/15/2025 8:00,2,10,,0.042,,0.096,,,,0.01,,0.004,U,0.5,,,,8,,9.5,,2,I,12,,,,,,10,Q,4.4,,,,5/15/2025 7:00
gtmpcnut,gtmpcnut2.11,5/15/2025 10:30,2,11,,0.042,,0.096,,,,0.004,I,0.011,,0.58,,,,11,,13,,3.1,I,11,,,,,,10,UQ,8.7,,,,5/15/2025 9:30
gtmpcnut,gtmpcnut2.2,5/14/2025 12:00,2,2,,0.033,Q,0.092,,,,0.003,I,0.004,U,0.64,,,,19,,22,,3.8,I,15,,,,,,,,8.2,,,,5/14/2025 11:00
gtmpcnut,gtmpcnut2.3,5/14/2025 14:30,2,3,,0.032,Q,0.088,,,,0.004,I,0.004,U,0.64,,,,12,,14,,2.5,I,19,,,,,,20,Q,8.9,,,,5/14/2025 13:30
gtmpcnut,gtmpcnut2.4,5/14/2025 17:00,2,4,,0.033,,0.09,,,,0.003,I,0.004,U,0.64,,,,11,,12,,2,I,19,,,,,,10,Q,8.5,,,,5/14/2025 16:00
gtmpcnut,gtmpcnut2.5,5/14/2025 19:30,2,5,,0.04,,0.097,,,,0.005,I,0.004,U,0.51,,,,8,,11,,3.8,I,20,,,,,,10,Q,9.3,,,,5/14/2025 18:30
gtmpcnut,gtmpcnut2.6,5/14/2025 22:00,2,6,,0.038,,0.099,,,,0.005,I,0.008,U,0.63,,,,7.4,,9.4,,2.8,I,32,,,,,,10,UQ,8.1,,,,5/14/2025 21:00
gtmpcnut,gtmpcnut2.7,5/15/2025 0:30,2,7,,0.032,,0.093,,,,0.005,I,0.004,U,0.66,,,,9.4,,11,,2.8,I,27,,,,,,10,UQ,7.6,,,,5/14/2025 23:30
gtmpcnut,gtmpcnut2.8,5/15/2025 3:00,2,8,,0.026,,0.088,,,,0.004,I,0.004,U,0.58,,,,8.9,,11,,2.7,I,22,,,,,,10,Q,8.9,,,,5/15/2025 2:00
gtmpcnut,gtmpcnut2.9,5/15/2025 5:30,2,9,,0.037,,0.085,,,,0.003,I,0.004,U,0.57,,,,8.2,,9.9,,2.3,I,15,,,,,,10,UQ,8.1,,,,5/15/2025 4:30
gtmfmnut,gtmfmnut1.1,6/10/2025 10:05,1,1,,0.014,,0.034,,0.021,,0.011,,0.004,U,0.37,I,0.31,I,3.9,A,4.4,A,1.1,U,8,I,5,U,8,BQ,10,UQ,2.7,I,,,6/10/2025 9:05
gtmfmnut,gtmfmnut1.2,6/10/2025 10:07,1,2,,0.016,,0.036,,0.023,,0.012,,0.004,U,0.37,I,0.33,I,3.9,,4.7,,0.99,I,8,I,2.5,U,8,BQ,10,UQ,2.6,I,,,6/10/2025 9:07
gtmpcnut,gtmpcnut1.1,6/10/2025 13:22,1,1,,0.061,,0.11,,0.071,,0.005,I,0.008,I,0.71,,0.25,I,18,,22,,5.5,,14,,47,,8,BQ,10,UQ,7.7,,,,6/10/2025 12:22
gtmpcnut,gtmpcnut1.2,6/10/2025 13:23,1,2,,0.06,,0.1,,0.071,,0.004,I,0.01,,0.7,,0.18,I,19,,22,,3.9,,12,,47,,14,BQ,10,Q,8,,,,6/10/2025 12:23
gtmpinut,gtmpinut1.1,6/10/2025 12:44,1,1,,0.03,,0.072,,0.041,,0.033,,0.005,I,0.74,,0.56,,11,,15,,5,,35,,20,,6,BQ,10,Q,7.4,,,,6/10/2025 11:44
gtmpinut,gtmpinut1.2,6/10/2025 12:46,1,2,,0.03,,0.066,,0.041,,0.031,,0.005,I,0.77,,0.52,,11,,14,,4.1,,33,,21,,3,BQ,10,Q,7,,,,6/10/2025 11:46
gtmssnut,gtmssnut1.1,6/10/2025 11:06,1,1,,0.026,,0.055,,0.033,,0.034,,0.031,,0.42,,0.32,I,6.8,,8.5,,2.3,,18,,2.5,U,3,UQ,10,UQ,3,I,,,6/10/2025 10:06
gtmssnut,gtmssnut1.2,6/10/2025 11:08,1,2,,0.027,,0.049,,0.034,,0.036,,0.032,,0.51,,0.29,I,7,,8.9,,2.6,,16,,2.5,U,8,BQ,10,UQ,3,I,,,6/10/2025 10:08
gtmpcnut,gtmpcnut2.1,6/23/2025 9:30,2,1,,0.069,Q,0.13,,0.084,,0.006,,0.007,I,0.73,,0.5,,17,Q,21,Q,5.4,Q,20,,,,,,,,10,,,,6/23/2025 8:30
gtmpcnut,gtmpcnut2.10,6/24/2025 8:00,2,10,,0.08,,0.14,,,,0.004,I,0.004,U,0.72,,,,16,,18,,3,I,13,,,,,,74,Q,12,,,,6/24/2025 7:00
gtmpcnut,gtmpcnut2.11,6/24/2025 10:30,2,11,,0.067,,0.13,,,,0.004,I,0.004,U,0.7,,,,23,,26,,3.3,I,19,,,,,,10,UQ,10,,,,6/24/2025 9:30
gtmpcnut,gtmpcnut2.2,6/23/2025 12:00,2,2,,0.073,,0.15,,,,0.004,I,0.004,U,0.76,,,,20,,24,,4.7,,14,,,,,,,,11,,,,6/23/2025 11:00
gtmpcnut,gtmpcnut2.3,6/23/2025 14:30,2,3,,0.078,,0.15,,,,0.004,I,0.004,U,0.66,,,,19,,23,,5.4,,18,,,,,,10,Q,11,,,,6/23/2025 13:30
gtmpcnut,gtmpcnut2.4,6/23/2025 17:00,2,4,,0.081,,0.16,,,,0.004,I,0.004,U,0.69,,,,16,,20,,4.9,,20,,,,,,10,Q,13,,,,6/23/2025 16:00
gtmpcnut,gtmpcnut2.5,6/23/2025 19:30,2,5,,0.073,,0.16,,,,0.004,I,0.004,U,0.72,,,,14,,17,,4.2,,25,,,,,,10,UQ,12,,,,6/23/2025 18:30
gtmpcnut,gtmpcnut2.6,6/23/2025 22:00,2,6,,0.053,,0.13,,,,0.005,I,0.004,U,0.74,,,,13,,16,,3.7,I,57,,,,,,10,UQ,8.5,,,,6/23/2025 21:00
gtmpcnut,gtmpcnut2.7,6/24/2025 0:30,2,7,,0.056,,0.12,,,,0.006,,0.004,U,0.77,,,,12,,15,,4.4,I,41,,,,,,10,UQ,9.1,,,,6/23/2025 23:30
gtmpcnut,gtmpcnut2.8,6/24/2025 3:00,2,8,,0.075,,0.14,,,,0.005,I,0.004,U,0.79,,,,15,,18,,3.9,I,22,,,,,,86,Q,10,,,,6/24/2025 2:00
gtmpcnut,gtmpcnut2.9,6/24/2025 5:30,2,9,,0.079,,0.14,,,,0.004,I,0.004,U,0.68,,,,14,,17,,2.9,I,14,,,,,,41,Q,11,,,,6/24/2025 4:30
gtmfmnut,gtmfmnut1.1,7/9/2025 13:05,1,1,,0.023,,0.045,,0.036,Y,0.054,Y,0.009,I,0.38,I,0.44,,3.9,,4.2,,0.63,U,5,I,2.5,U,4,UQ,10,UQ,3,I,,,7/9/2025 12:05
gtmfmnut,gtmfmnut1.2,7/9/2025 13:06,1,2,,0.023,,0.046,,0.041,Y,0.052,Y,0.009,I,0.45,,0.35,I,4,,4.4,,0.63,U,,,,,3,UQ,10,UQ,2.9,I,,,7/9/2025 12:06
gtmpcnut,gtmpcnut1.1,7/9/2025 12:39,1,1,,0.061,,0.12,,0.082,,0.016,,0.004,U,0.67,,0.41,,30,,34,,4.5,,13,,88,A,36,BQ,20,Q,11,,,,7/9/2025 11:39
gtmpcnut,gtmpcnut1.2,7/9/2025 12:40,1,2,,0.061,,0.11,,0.082,,0.019,,0.004,U,0.7,,0.41,,28,,32,,5,,,,,,28,BQ,20,Q,11,,,,7/9/2025 11:40
